end_index,end_seconds,phase,record,start_index,start_seconds,status,trial
214,2.14,QS,sub_1,0,0.0,provisional,1
255,2.55,GI,sub_1,214,2.14,provisional,1
519,5.19,SSSW,sub_1,255,2.55,provisional,1
666,6.66,SLT,sub_1,519,5.19,provisional,1
1504,15.04,SSLW,sub_1,666,6.66,provisional,1
1912,19.11,GT,sub_1,1504,15.04,provisional,1
195,1.95,QS,sub_1,0,0.0,provisional,2
248,2.48,GI,sub_1,195,1.95,provisional,2
799,7.99,SSSW,sub_1,248,2.48,provisional,2
914,9.14,SLT,sub_1,799,7.99,provisional,2
1481,14.81,SSLW,sub_1,914,9.14,provisional,2
1874,18.73,GT,sub_1,1481,14.81,provisional,2
282,2.82,QS,sub_1,0,0.0,provisional,3
328,3.28,GI,sub_1,282,2.82,provisional,3
584,5.84,SSSW,sub_1,328,3.28,provisional,3
741,7.41,SLT,sub_1,584,5.84,provisional,3
1619,16.19,SSLW,sub_1,741,7.41,provisional,3
2050,20.49,GT,sub_1,1619,16.19,provisional,3
393,3.93,QS,sub_1,0,0.0,provisional,4
439,4.39,GI,sub_1,393,3.93,provisional,4
1042,10.42,SSSW,sub_1,439,4.39,provisional,4
1171,11.71,SLT,sub_1,1042,10.42,provisional,4
1761,17.61,SSLW,sub_1,1171,11.71,provisional,4
2268,22.67,GT,sub_1,1761,17.61,provisional,4
208,2.08,QS,sub_1,0,0.0,provisional,5
246,2.46,GI,sub_1,208,2.08,provisional,5
750,7.5,SSSW,sub_1,246,2.46,provisional,5
875,8.75,SLT,sub_1,750,7.5,provisional,5
1504,15.04,SSLW,sub_1,875,8.75,provisional,5
1840,18.39,GT,sub_1,1504,15.04,provisional,5
215,2.15,QS,sub_1,0,0.0,provisional,6
268,2.68,GI,sub_1,215,2.15,provisional,6
971,9.71,SSSW,sub_1,268,2.68,provisional,6
1077,10.77,SLT,sub_1,971,9.71,provisional,6
1490,14.9,SSLW,sub_1,1077,10.77,provisional,6
1928,19.27,GT,sub_1,1490,14.9,provisional,6
221,2.21,QS,sub_1,0,0.0,provisional,7
261,2.61,GI,sub_1,221,2.21,provisional,7
745,7.45,SSSW,sub_1,261,2.61,provisional,7
862,8.62,SLT,sub_1,745,7.45,provisional,7
1563,15.63,SSLW,sub_1,862,8.62,provisional,7
1958,19.57,GT,sub_1,1563,15.63,provisional,7
298,2.98,QS,sub_1,0,0.0,provisional,8
336,3.36,GI,sub_1,298,2.98,provisional,8
1059,10.59,SSSW,sub_1,336,3.36,provisional,8
1178,11.78,SLT,sub_1,1059,10.59,provisional,8
1662,16.62,SSLW,sub_1,1178,11.78,provisional,8
2043,20.42,GT,sub_1,1662,16.62,provisional,8
257,2.57,QS,sub_1,0,0.0,provisional,9
294,2.94,GI,sub_1,257,2.57,provisional,9
945,9.45,SSSW,sub_1,294,2.94,provisional,9
1033,10.33,SLT,sub_1,945,9.45,provisional,9
1593,15.93,SSLW,sub_1,1033,10.33,provisional,9
2010,20.09,GT,sub_1,1593,15.93,provisional,9
278,2.78,QS,sub_1,0,0.0,provisional,10
330,3.3,GI,sub_1,278,2.78,provisional,10
1033,10.33,SSSW,sub_1,330,3.3,provisional,10
1152,11.52,SLT,sub_1,1033,10.33,provisional,10
1565,15.65,SSLW,sub_1,1152,11.52,provisional,10
2142,21.41,GT,sub_1,1565,15.65,provisional,10
149,1.49,QS,sub_1,0,0.0,provisional,11
181,1.81,GI,sub_1,149,1.49,provisional,11
819,8.19,SSSW,sub_1,181,1.81,provisional,11
894,8.94,SLT,sub_1,819,8.19,provisional,11
1443,14.43,SSLW,sub_1,894,8.94,provisional,11
1807,18.06,GT,sub_1,1443,14.43,provisional,11
229,2.29,QS,sub_1,0,0.0,provisional,12
279,2.79,GI,sub_1,229,2.29,provisional,12
865,8.65,SSSW,sub_1,279,2.79,provisional,12
987,9.87,SLT,sub_1,865,8.65,provisional,12
1522,15.22,SSLW,sub_1,987,9.87,provisional,12
2023,20.22,GT,sub_1,1522,15.22,provisional,12
300,3.0,QS,sub_1,0,0.0,provisional,13
346,3.46,GI,sub_1,300,3.0,provisional,13
1013,10.13,SSSW,sub_1,346,3.46,provisional,13
1116,11.16,SLT,sub_1,1013,10.13,provisional,13
1659,16.59,SSLW,sub_1,1116,11.16,provisional,13
2084,20.83,GT,sub_1,1659,16.59,provisional,13
209,2.09,QS,sub_1,0,0.0,provisional,14
253,2.53,GI,sub_1,209,2.09,provisional,14
970,9.7,SSSW,sub_1,253,2.53,provisional,14
1085,10.85,SLT,sub_1,970,9.7,provisional,14
1523,15.23,SSLW,sub_1,1085,10.85,provisional,14
1912,19.11,GT,sub_1,1523,15.23,provisional,14
287,2.87,QS,sub_1,0,0.0,provisional,15
328,3.28,GI,sub_1,287,2.87,provisional,15
934,9.34,SSSW,sub_1,328,3.28,provisional,15
1099,10.99,SLT,sub_1,934,9.34,provisional,15
1615,16.15,SSLW,sub_1,1099,10.99,provisional,15
2027,20.26,GT,sub_1,1615,16.15,provisional,15
176,1.76,QS,sub_1,0,0.0,provisional,16
264,2.64,GI,sub_1,176,1.76,provisional,16
863,8.63,SSSW,sub_1,264,2.64,provisional,16
984,9.84,SLT,sub_1,863,8.63,provisional,16
1521,15.21,SSLW,sub_1,984,9.84,provisional,16
2188,21.87,GT,sub_1,1521,15.21,provisional,16
649,6.49,QS,sub_1,0,0.0,provisional,17
730,7.3,GI,sub_1,649,6.49,provisional,17
