end_index,end_seconds,phase,record,start_index,start_seconds,status,trial
281,2.81,QS,Alif_1,0,0.0,provisional,1
335,3.35,GI,Alif_1,281,2.81,provisional,1
1101,11.01,SSSW,Alif_1,335,3.35,provisional,1
1260,12.6,SLT,Alif_1,1101,11.01,provisional,1
1650,16.5,SSLW,Alif_1,1260,12.6,provisional,1
2152,21.51,GT,Alif_1,1650,16.5,provisional,1
266,2.66,QS,Alif_1,0,0.0,provisional,2
304,3.04,GI,Alif_1,266,2.66,provisional,2
906,9.06,SSSW,Alif_1,304,3.04,provisional,2
992,9.92,SLT,Alif_1,906,9.06,provisional,2
1632,16.32,SSLW,Alif_1,992,9.92,provisional,2
2125,21.24,GT,Alif_1,1632,16.32,provisional,2
323,3.23,QS,Alif_1,0,0.0,provisional,3
369,3.69,GI,Alif_1,323,3.23,provisional,3
1145,11.45,SSSW,Alif_1,369,3.69,provisional,3
1307,13.07,SLT,Alif_1,1145,11.45,provisional,3
1696,16.96,SSLW,Alif_1,1307,13.07,provisional,3
2298,22.97,GT,Alif_1,1696,16.96,provisional,3
356,3.56,QS,Alif_1,0,0.0,provisional,4
397,3.97,GI,Alif_1,356,3.56,provisional,4
612,6.12,SSSW,Alif_1,397,3.97,provisional,4
732,7.32,SLT,Alif_1,612,6.12,provisional,4
1685,16.85,SSLW,Alif_1,732,7.32,provisional,4
2182,21.81,GT,Alif_1,1685,16.85,provisional,4
250,2.5,QS,Alif_1,0,0.0,provisional,5
292,2.92,GI,Alif_1,250,2.5,provisional,5
1134,11.34,SSSW,Alif_1,292,2.92,provisional,5
1289,12.89,SLT,Alif_1,1134,11.34,provisional,5
1552,15.52,SSLW,Alif_1,1289,12.89,provisional,5
2097,20.96,GT,Alif_1,1552,15.52,provisional,5
339,3.39,QS,Alif_1,0,0.0,provisional,6
371,3.71,GI,Alif_1,339,3.39,provisional,6
560,5.6,SSSW,Alif_1,371,3.71,provisional,6
669,6.69,SLT,Alif_1,560,5.6,provisional,6
1611,16.11,SSLW,Alif_1,669,6.69,provisional,6
2151,21.5,GT,Alif_1,1611,16.11,provisional,6
281,2.81,QS,Alif_1,0,0.0,provisional,7
