alternative_transition_end_seconds,alternative_transition_start_seconds,boundary_method,complete_six_phase,duration_seconds,excluded_incomplete_cycles,flags,gi_end_seconds,gt_start_seconds,imputed_signal_values,load_peaks_left,load_peaks_right,onset_seconds,phase_count,record,reference_limb,remaining_missing_signal_values,sequence_assumption,slt_end_seconds,slt_start_seconds,status,transition_improvement,transition_support,trial,view_mode
8.59,6.98,paired trigger interval,True,27.57,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,4.2,22.25,24,12,12,3.3,6,vipin_1,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.59,6.98,model-assisted provisional six-phase fit,0.3729,moderate pattern evidence,1,model_completed
16.38,6.04,paired trigger interval,True,25.79,0,All events provisional; pressure extrema are not heel-strike labels; sustained onset with initial standing not resolved; reconstructed values can affect boundaries; absent phases are not invented; ,3.08,21.28,20,12,11,2.28,6,vipin_1,,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.09,9.4,model-assisted provisional six-phase fit,,model-assisted; unverified,2,model_completed
9.42,6.03,paired trigger interval,True,25.47,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,2.83,21.44,6,10,12,1.95,6,vipin_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.68,6.03,model-assisted provisional six-phase fit,0.2905,weak/ambiguous pattern evidence,3,model_completed
10.86,7.37,paired trigger interval,True,25.63,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; terminal bilateral peak mismatch; reconstructed values can affect boundaries; absent phases are not invented; GT extended to later cadence-consistent pressure peak supported by strong FMG activity; ,3.18,21.08,20,8,11,2.1,6,vipin_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",9.23,7.37,model-assisted provisional six-phase fit,0.2613,weak/ambiguous pattern evidence,4,model_completed
10.83,10.06,paired trigger interval,True,25.05,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,3.19,20.82,4,12,12,2.45,6,vipin_1,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",10.83,10.06,model-assisted provisional six-phase fit,0.4065,moderate pattern evidence,5,model_completed
16.77,8.21,paired trigger interval,True,25.63,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,3.69,20.72,20,11,11,2.06,6,vipin_1,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.58,9.9,model-assisted provisional six-phase fit,0.2539,weak/ambiguous pattern evidence,6,model_completed
10.12,6.66,paired trigger interval,True,26.67,0,All events provisional; pressure extrema are not heel-strike labels; insufficient complete strides or missing data for transition estimate; reconstructed values can affect boundaries; absent phases are not invented; ,3.55,22.28,0,5,12,2.4,6,vipin_1,,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",8.32,6.66,model-assisted provisional six-phase fit,,model-assisted; unverified,7,model_completed
6.43,4.75,paired trigger interval,True,24.78,0,All events provisional; pressure extrema are not heel-strike labels; reconstructed values can affect boundaries; absent phases are not invented; ,2.71,20.56,4,13,11,2.02,6,vipin_1,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",6.43,4.75,model-assisted provisional six-phase fit,0.448,moderate pattern evidence,8,model_completed
14.44,5.61,paired trigger interval,True,25.38,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,2.33,20.74,24,11,12,1.49,6,vipin_1,R,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",7.36,5.61,model-assisted provisional six-phase fit,0.253,weak/ambiguous pattern evidence,9,model_completed
13.44,6.77,paired trigger interval,True,25.38,0,All events provisional; pressure extrema are not heel-strike labels; SLT timing ambiguous; reconstructed values can affect boundaries; absent phases are not invented; ,3.67,21.97,22,12,12,2.77,6,vipin_1,L,0,"QS-GI-SSSW-SLT-SSLW-GT; short-to-long requested, not verified",11.74,10.0,model-assisted provisional six-phase fit,0.2775,weak/ambiguous pattern evidence,10,model_completed
