end_index,end_seconds,phase,record,start_index,start_seconds,status,trial
257,2.57,QS,ashu_1,0,0.0,provisional,1
337,3.37,GI,ashu_1,257,2.57,provisional,1
885,8.85,SSSW,ashu_1,337,3.37,provisional,1
1008,10.08,SLT,ashu_1,885,8.85,provisional,1
1706,17.06,SSLW,ashu_1,1008,10.08,provisional,1
2394,23.93,GT,ashu_1,1706,17.06,provisional,1
37,0.37,QS,ashu_1,0,0.0,model_assisted_provisional,2
98,0.98,GI,ashu_1,37,0.37,model_assisted_provisional,2
649,6.49,SSSW,ashu_1,98,0.98,model_assisted_provisional,2
714,7.14,SLT,ashu_1,649,6.49,model_assisted_provisional,2
1689,16.89,SSLW,ashu_1,714,7.14,model_assisted_provisional,2
2165,21.64,GT,ashu_1,1689,16.89,model_assisted_provisional,2
263,2.63,QS,ashu_1,0,0.0,model_assisted_provisional,3
340,3.4,GI,ashu_1,263,2.63,model_assisted_provisional,3
936,9.36,SSSW,ashu_1,340,3.4,model_assisted_provisional,3
1093,10.93,SLT,ashu_1,936,9.36,model_assisted_provisional,3
1633,16.33,SSLW,ashu_1,1093,10.93,model_assisted_provisional,3
2031,20.3,GT,ashu_1,1633,16.33,model_assisted_provisional,3
45,0.45,QS,ashu_1,0,0.0,model_assisted_provisional,4
104,1.04,GI,ashu_1,45,0.45,model_assisted_provisional,4
420,4.2,SSSW,ashu_1,104,1.04,model_assisted_provisional,4
519,5.19,SLT,ashu_1,420,4.2,model_assisted_provisional,4
1718,17.18,SSLW,ashu_1,519,5.19,model_assisted_provisional,4
2118,21.17,GT,ashu_1,1718,17.18,model_assisted_provisional,4
11,0.11,QS,ashu_1,0,0.0,model_assisted_provisional,5
69,0.69,GI,ashu_1,11,0.11,model_assisted_provisional,5
1705,17.05,SSSW,ashu_1,69,0.69,model_assisted_provisional,5
1767,17.67,SLT,ashu_1,1705,17.05,model_assisted_provisional,5
2008,20.08,SSLW,ashu_1,1767,17.67,model_assisted_provisional,5
2112,21.11,GT,ashu_1,2008,20.08,model_assisted_provisional,5
61,0.61,QS,ashu_1,0,0.0,model_assisted_provisional,6
119,1.19,GI,ashu_1,61,0.61,model_assisted_provisional,6
315,3.15,SSSW,ashu_1,119,1.19,model_assisted_provisional,6
433,4.33,SLT,ashu_1,315,3.15,model_assisted_provisional,6
2052,20.52,SSLW,ashu_1,433,4.33,model_assisted_provisional,6
2146,21.45,GT,ashu_1,2052,20.52,model_assisted_provisional,6
19,0.19,QS,ashu_1,0,0.0,model_assisted_provisional,7
76,0.76,GI,ashu_1,19,0.19,model_assisted_provisional,7
