end_index,end_seconds,phase,record,start_index,start_seconds,status,trial
446,4.46,QS,rohan_1,0,0.0,provisional,1
511,5.11,GI,rohan_1,446,4.46,provisional,1
1177,11.77,SSSW,rohan_1,511,5.11,provisional,1
1297,12.97,SLT,rohan_1,1177,11.77,provisional,1
1733,17.33,SSLW,rohan_1,1297,12.97,provisional,1
2739,27.38,GT,rohan_1,1733,17.33,provisional,1
315,3.15,QS,rohan_2,0,0.0,provisional,1
364,3.64,GI,rohan_2,315,3.15,provisional,1
924,9.24,SSSW,rohan_2,364,3.64,provisional,1
1040,10.4,SLT,rohan_2,924,9.24,provisional,1
1597,15.97,SSLW,rohan_2,1040,10.4,provisional,1
3121,31.2,GT,rohan_2,1597,15.97,provisional,1
485,4.85,QS,rohan_3,0,0.0,model_assisted_provisional,1
548,5.48,GI,rohan_3,485,4.85,model_assisted_provisional,1
843,8.42,WALK,rohan_3,548,5.48,model_assisted_provisional,1
423,4.23,QS,rohan_3,0,0.0,provisional,2
479,4.79,GI,rohan_3,423,4.23,provisional,2
725,7.25,SSSW,rohan_3,479,4.79,provisional,2
838,8.38,SLT,rohan_3,725,7.25,provisional,2
1728,17.28,SSLW,rohan_3,838,8.38,provisional,2
3244,32.43,GT,rohan_3,1728,17.28,provisional,2
375,3.75,QS,rohan_4,0,0.0,provisional,1
437,4.37,GI,rohan_4,375,3.75,provisional,1
621,6.21,SSSW,rohan_4,437,4.37,provisional,1
726,7.26,SLT,rohan_4,621,6.21,provisional,1
1690,16.9,SSLW,rohan_4,726,7.26,provisional,1
3102,31.01,GT,rohan_4,1690,16.9,provisional,1
293,2.93,QS,rohan_5,0,0.0,provisional,1
365,3.65,GI,rohan_5,293,2.93,provisional,1
952,9.52,SSSW,rohan_5,365,3.65,provisional,1
1071,10.71,SLT,rohan_5,952,9.52,provisional,1
1632,16.32,SSLW,rohan_5,1071,10.71,provisional,1
2450,24.49,GT,rohan_5,1632,16.32,provisional,1
287,2.87,QS,rohan_6,0,0.0,provisional,1
325,3.25,GI,rohan_6,287,2.87,provisional,1
894,8.94,SSSW,rohan_6,325,3.25,provisional,1
1012,10.12,SLT,rohan_6,894,8.94,provisional,1
1524,15.24,SSLW,rohan_6,1012,10.12,provisional,1
2329,23.28,GT,rohan_6,1524,15.24,provisional,1
282,2.82,QS,rohan_7,0,0.0,provisional,1
341,3.41,GI,rohan_7,282,2.82,provisional,1
927,9.27,SSSW,rohan_7,341,3.41,provisional,1
1036,10.36,SLT,rohan_7,927,9.27,provisional,1
1600,16.0,SSLW,rohan_7,1036,10.36,provisional,1
3085,30.84,GT,rohan_7,1600,16.0,provisional,1
268,2.68,QS,rohan_8,0,0.0,provisional,1
306,3.06,GI,rohan_8,268,2.68,provisional,1
753,7.53,SSSW,rohan_8,306,3.06,provisional,1
876,8.76,SLT,rohan_8,753,7.53,provisional,1
1535,15.35,SSLW,rohan_8,876,8.76,provisional,1
2900,28.99,GT,rohan_8,1535,15.35,provisional,1
341,3.41,QS,rohan_9,0,0.0,provisional,1
374,3.74,GI,rohan_9,341,3.41,provisional,1
959,9.59,SSSW,rohan_9,374,3.74,provisional,1
1070,10.7,SLT,rohan_9,959,9.59,provisional,1
1665,16.65,SSLW,rohan_9,1070,10.7,provisional,1
2477,24.76,GT,rohan_9,1665,16.65,provisional,1
209,2.09,QS,rohan_10,0,0.0,provisional,1
249,2.49,GI,rohan_10,209,2.09,provisional,1
485,4.85,SSSW,rohan_10,249,2.49,provisional,1
590,5.9,SLT,rohan_10,485,4.85,provisional,1
1496,14.96,SSLW,rohan_10,590,5.9,provisional,1
2817,28.16,GT,rohan_10,1496,14.96,provisional,1
415,4.15,QS,rohan_11,0,0.0,provisional,1
453,4.53,GI,rohan_11,415,4.15,provisional,1
1039,10.39,SSSW,rohan_11,453,4.53,provisional,1
1153,11.53,SLT,rohan_11,1039,10.39,provisional,1
1702,17.02,SSLW,rohan_11,1153,11.53,provisional,1
2895,28.94,GT,rohan_11,1702,17.02,provisional,1
221,2.21,QS,rohan_12,0,0.0,provisional,1
266,2.66,GI,rohan_12,221,2.21,provisional,1
828,8.28,SSSW,rohan_12,266,2.66,provisional,1
954,9.54,SLT,rohan_12,828,8.28,provisional,1
1511,15.11,SSLW,rohan_12,954,9.54,provisional,1
